Region,Country,Item Type,Sales Channel,Order ID,Units Sold,Unit Price,Unit Cost,Total Profit
Europe,Belarus,Vegetables,Online,614054477,1220,154.06,90.93,77018.6
Australia and Oceania,Marshall Islands,Clothes,Offline,112384831,6024,109.28,35.84,442402.56
Europe,Sweden,Baby Food,Offline,369170081,4486,255.28,159.42,430027.96
Sub-Saharan Africa,Madagascar,Snacks,Offline,861021554,4266,152.58,97.44,235227.24
Asia,China,Meat,Online,234863078,59,421.89,364.69,3374.8
Europe,Albania,Clothes,Offline,357930982,8586,109.28,35.84,630555.84
Asia,Indonesia,Office Supplies,Offline,467774093,3604,651.21,524.96,455005
Sub-Saharan Africa,Botswana,Vegetables,Offline,322253739,898,154.06,90.93,56690.74
Australia and Oceania,New Zealand,Cereal,Online,649543750,3285,205.7,117.11,291018.15
North America,Mexico,Fruits,Online,898130452,5614,9.33,6.92,13529.74
Europe,Russia,Office Supplies,Offline,586812674,9766,651.21,524.96,1232957.5
Sub-Saharan Africa,Cameroon,Beverages,Online,654701745,9650,47.45,31.79,151119
Europe,Sweden,Fruits,Online,311221492,6210,9.33,6.92,14966.1
Middle East and North Africa,Algeria,Meat,Offline,186108243,2420,421.89,364.69,138424
Middle East and North Africa,Qatar,Cereal,Offline,979410827,8283,205.7,117.11,733790.97
Middle East and North Africa,Somalia,Beverages,Online,311490571,5837,47.45,31.79,91407.42
Asia,Malaysia,Fruits,Online,373021304,4148,9.33,6.92,9996.68
Europe,Sweden,Snacks,Online,274989354,4316,152.58,97.44,237984.24
Sub-Saharan Africa,Comoros,Household,Offline,998693549,4469,668.27,502.54,740647.37
Sub-Saharan Africa,Ethiopia,Meat,Online,445745217,4770,421.89,364.69,272844
Asia,Laos,Fruits,Online,188068187,2411,9.33,6.92,5810.51
Asia,Brunei,Fruits,Online,517898786,6614,9.33,6.92,15939.74
Europe,Cyprus,Office Supplies,Offline,897785842,3636,651.21,524.96,459045
Central America and the Caribbean,Guatemala,Beverages,Online,410590684,1762,47.45,31.79,27592.92
Sub-Saharan Africa,Tanzania,Meat,Online,909487140,6310,421.89,364.69,360932
Asia,Mongolia,Cosmetics,Online,267961537,4628,437.2,263.33,804670.36
Europe,Romania,Meat,Online,929812705,1097,421.89,364.69,62748.4
Middle East and North Africa,Saudi Arabia,Office Supplies,Online,459151971,2126,651.21,524.96,268407.5
Australia and Oceania,New Zealand,Cosmetics,Offline,990403163,1160,437.2,263.33,201689.2
Asia,Sri Lanka,Clothes,Online,678302609,3670,109.28,35.84,269524.8
Central America and the Caribbean,Antigua and Barbuda ,Cosmetics,Online,447899138,2163,437.2,263.33,376080.81
Asia,China,Cereal,Online,844554078,1174,205.7,117.11,104004.66
Sub-Saharan Africa,Benin,Personal Care,Offline,683941256,2271,81.73,56.67,56911.26
Europe,Ukraine,Cosmetics,Online,202047002,9053,437.2,263.33,1574045.11
Australia and Oceania,Tonga,Personal Care,Offline,605170142,2148,81.73,56.67,53828.88
Europe,Kosovo,Fruits,Online,919922006,4219,9.33,6.92,10167.79
Europe,Moldova ,Beverages,Offline,243226420,4958,47.45,31.79,77642.28
Sub-Saharan Africa,Cape Verde,Household,Offline,892319715,6088,668.27,502.54,1008964.24
Middle East and North Africa,Iran,Baby Food,Online,754750716,6364,255.28,159.42,610053.04
Sub-Saharan Africa,Equatorial Guinea,Cosmetics,Online,938380753,6573,437.2,263.33,1142847.51
Central America and the Caribbean,Saint Lucia,Vegetables,Online,821383655,4531,154.06,90.93,286042.03
Asia,Kyrgyzstan,Office Supplies,Online,302245748,88,651.21,524.96,11110
Europe,United Kingdom,Clothes,Online,249765861,123,109.28,35.84,9033.12
Europe,Romania,Beverages,Online,253055322,3548,47.45,31.79,55561.68
Sub-Saharan Africa,Cote d'Ivoire,Cereal,Online,871537959,6304,205.7,117.11,558471.36
Asia,Brunei,Clothes,Online,484950101,6366,109.28,35.84,467519.04
Europe,Montenegro,Beverages,Offline,243340575,8739,47.45,31.79,136852.74
Australia and Oceania,Vanuatu,Snacks,Online,917070710,457,152.58,97.44,25198.98
Asia,Maldives,Office Supplies,Online,646814334,5590,651.21,524.96,705737.5
Australia and Oceania,Palau,Snacks,Online,793557775,235,152.58,97.44,12957.9
Europe,Czech Republic,Household,Offline,988599860,7522,668.27,502.54,1246621.06
Sub-Saharan Africa,Democratic Republic of the Congo,Cereal,Online,483551919,2613,205.7,117.11,231485.67
Asia,Singapore,Meat,Online,400337779,7700,421.89,364.69,440440
Europe,Cyprus,Snacks,Online,581193768,7006,152.58,97.44,386310.84
Central America and the Caribbean,Dominican Republic,Office Supplies,Online,938668715,1787,651.21,524.96,225608.75
Asia,South Korea,Beverages,Online,105623948,5328,47.45,31.79,83436.48
Middle East and North Africa,Morocco,Personal Care,Online,385233294,7947,81.73,56.67,199151.82
Europe,Serbia,Cereal,Offline,100983083,1993,205.7,117.11,176559.87
Central America and the Caribbean,Saint Lucia,Cosmetics,Offline,346672141,6845,437.2,263.33,1190140.15
Europe,Latvia,Personal Care,Offline,936411798,3915,81.73,56.67,98109.9
Sub-Saharan Africa,Mauritania,Beverages,Offline,854625880,1644,47.45,31.79,25745.04
Sub-Saharan Africa,Senegal,Household,Online,506050717,508,668.27,502.54,84190.84
Sub-Saharan Africa,Swaziland,Vegetables,Online,365735137,8009,154.06,90.93,505608.17
Middle East and North Africa,Azerbaijan,Cosmetics,Offline,529040467,3686,437.2,263.33,640884.82
Europe,Bosnia and Herzegovina,Household,Offline,261640536,4104,668.27,502.54,680155.92
Sub-Saharan Africa,Senegal,Snacks,Online,249521672,7863,152.58,97.44,433565.82
Sub-Saharan Africa,Djibouti,Baby Food,Offline,348982703,592,255.28,159.42,56749.12
Sub-Saharan Africa,Ethiopia,Baby Food,Online,936634957,9953,255.28,159.42,954094.58
Asia,Philippines,Cereal,Offline,659402263,638,205.7,117.11,56520.42
Sub-Saharan Africa,Sudan,Beverages,Online,484520947,9370,47.45,31.79,146734.2
Central America and the Caribbean,Cuba,Office Supplies,Offline,549539840,9905,651.21,524.96,1250506.25
Central America and the Caribbean,Barbados,Vegetables,Offline,612320268,8029,154.06,90.93,506870.77
Central America and the Caribbean,Grenada,Vegetables,Online,501036059,6559,154.06,90.93,414069.67
Europe,Finland,Baby Food,Offline,564173543,343,255.28,159.42,32879.98
Sub-Saharan Africa,Niger,Snacks,Offline,320531547,1262,152.58,97.44,69586.68
Asia,Cambodia,Fruits,Online,709221398,3227,9.33,6.92,7777.07
Middle East and North Africa,Morocco,Clothes,Offline,939666926,7180,109.28,35.84,527299.2
Central America and the Caribbean,Saint Kitts and Nevis ,Vegetables,Online,741604459,6094,154.06,90.93,384714.22
Sub-Saharan Africa,Zambia,Meat,Offline,815082824,9975,421.89,364.69,570570
Europe,Ukraine,Cereal,Offline,580463349,859,205.7,117.11,76098.81
Europe,France,Office Supplies,Offline,428419864,7813,651.21,524.96,986391.25
Middle East and North Africa,Jordan,Cosmetics,Online,369938695,1936,437.2,263.33,336612.32
Middle East and North Africa,Libya,Meat,Offline,486318671,1357,421.89,364.69,77620.4
Europe,Portugal,Baby Food,Offline,479171121,6238,255.28,159.42,597974.68
Europe,Lithuania,Personal Care,Online,120419871,3771,81.73,56.67,94501.26
Europe,Italy,Clothes,Offline,602301251,3180,109.28,35.84,233539.2
Asia,Turkmenistan,Cosmetics,Online,487364089,719,437.2,263.33,125012.53
Middle East and North Africa,Yemen,Fruits,Online,658469712,4675,9.33,6.92,11266.75
Sub-Saharan Africa,Malawi,Meat,Online,268791949,366,421.89,364.69,20935.2
Central America and the Caribbean,Saint Lucia,Fruits,Online,791817128,5139,9.33,6.92,12384.99
Asia,Nepal,Household,Offline,171344077,3375,668.27,502.54,559338.75
Europe,Denmark,Baby Food,Online,471484124,1485,255.28,159.42,142352.1
Australia and Oceania,Fiji,Office Supplies,Offline,226661098,2911,651.21,524.96,367513.75
Europe,Hungary,Snacks,Offline,291611325,3126,152.58,97.44,172367.64
Europe,Slovenia,Vegetables,Offline,691383635,4637,154.06,90.93,292733.81
Asia,Kyrgyzstan,Personal Care,Offline,171339356,1978,81.73,56.67,49568.68
Middle East and North Africa,Libya,Personal Care,Offline,247152316,6717,81.73,56.67,168328.02
Australia and Oceania,Palau,Snacks,Online,254808843,2454,152.58,97.44,135313.56
Sub-Saharan Africa,Ethiopia,Cosmetics,Offline,500607764,9817,437.2,263.33,1706881.79
Sub-Saharan Africa,South Africa,Cereal,Online,911160409,1468,205.7,117.11,130050.12
Asia,Indonesia,Cereal,Online,583390605,7099,205.7,117.11,628900.41
Sub-Saharan Africa,Niger,Office Supplies,Offline,934534680,8434,651.21,524.96,1064792.5
Middle East and North Africa,Tunisia ,Personal Care,Offline,752141463,4228,81.73,56.67,105953.68
Middle East and North Africa,Azerbaijan,Clothes,Online,244072282,5267,109.28,35.84,386808.48
Sub-Saharan Africa,Mauritius ,Cosmetics,Online,588500964,9368,437.2,263.33,1628814.16
Europe,Kosovo,Snacks,Online,783913838,6380,152.58,97.44,351793.2
Europe,Macedonia,Clothes,Online,799109733,3183,109.28,35.84,233759.52
Europe,Denmark,Beverages,Online,223199975,8687,47.45,31.79,136038.42
Australia and Oceania,Papua New Guinea,Cosmetics,Offline,515608394,8836,437.2,263.33,1536315.32
Asia,Indonesia,Cosmetics,Offline,956071317,1603,437.2,263.33,278713.61
Central America and the Caribbean,Saint Lucia,Snacks,Offline,894637572,1993,152.58,97.44,109894.02
Sub-Saharan Africa,Malawi,Personal Care,Online,201668488,7042,81.73,56.67,176472.52
Sub-Saharan Africa,Sudan,Cosmetics,Online,617837893,817,437.2,263.33,142051.79
Middle East and North Africa,Iraq,Snacks,Online,804132115,9417,152.58,97.44,519253.38
Europe,Georgia,Cereal,Offline,391849982,5972,205.7,117.11,529059.48
Australia and Oceania,Papua New Guinea,Cosmetics,Online,432602822,5643,437.2,263.33,981148.41
Australia and Oceania,Solomon Islands,Meat,Online,248314464,623,421.89,364.69,35635.6
Middle East and North Africa,Pakistan,Beverages,Online,581221234,5134,47.45,31.79,80398.44
Australia and Oceania,Kiribati,Clothes,Online,443871963,432,109.28,35.84,31726.08
Middle East and North Africa,Somalia,Snacks,Offline,269127976,9804,152.58,97.44,540592.56
Central America and the Caribbean,Trinidad and Tobago,Fruits,Online,560163104,3565,9.33,6.92,8591.65
Central America and the Caribbean,Costa Rica,Household,Offline,540463674,4066,668.27,502.54,673858.18
Sub-Saharan Africa,Mali,Baby Food,Online,403828513,686,255.28,159.42,65759.96
Asia,India,Snacks,Online,864368951,4836,152.58,97.44,266657.04
Europe,Croatia,Clothes,Online,906508815,4958,109.28,35.84,364115.52
Central America and the Caribbean,Saint Lucia,Vegetables,Online,934984433,1526,154.06,90.93,96336.38
Europe,Greece,Cereal,Offline,524844634,2045,205.7,117.11,181166.55
Sub-Saharan Africa,Djibouti,Fruits,Offline,671450746,6052,9.33,6.92,14585.32
Europe,Iceland,Fruits,Online,640476596,112,9.33,6.92,269.92
Sub-Saharan Africa,Niger,Cosmetics,Online,217908513,2826,437.2,263.33,491356.62
Asia,China,Fruits,Online,160045325,9823,9.33,6.92,23673.43
Sub-Saharan Africa,The Gambia,Office Supplies,Offline,843498361,8764,651.21,524.96,1106455
Middle East and North Africa,Saudi Arabia,Snacks,Online,915191447,4342,152.58,97.44,239417.88
Central America and the Caribbean,Antigua and Barbuda ,Fruits,Online,442360913,3279,9.33,6.92,7902.39
Middle East and North Africa,Israel,Personal Care,Online,462555587,9332,81.73,56.67,233859.92
Europe,Ukraine,Meat,Online,733636796,8286,421.89,364.69,473959.2
Europe,Bosnia and Herzegovina,Snacks,Online,183778369,2958,152.58,97.44,163104.12
Middle East and North Africa,Lebanon,Beverages,Online,961466634,8198,47.45,31.79,128380.68
Middle East and North Africa,United Arab Emirates,Meat,Offline,785500419,5884,421.89,364.69,336564.8
Europe,Luxembourg,Snacks,Offline,594991052,9929,152.58,97.44,547485.06
Australia and Oceania,Tonga,Vegetables,Offline,499362361,1274,154.06,90.93,80427.62
Middle East and North Africa,Kuwait,Vegetables,Online,228350675,2894,154.06,90.93,182698.22
Central America and the Caribbean,Saint Vincent and the Grenadines,Baby Food,Offline,482004821,4793,255.28,159.42,459456.98
Sub-Saharan Africa,Sao Tome and Principe,Office Supplies,Offline,680686128,9006,651.21,524.96,1137007.5
Sub-Saharan Africa,Burundi,Clothes,Offline,315068423,4603,109.28,35.84,338044.32
Australia and Oceania,Fiji,Clothes,Online,296138036,2680,109.28,35.84,196819.2
Sub-Saharan Africa,Ghana,Meat,Offline,705193793,1369,421.89,364.69,78306.8
Middle East and North Africa,Somalia,Household,Offline,343847024,830,668.27,502.54,137555.9
Sub-Saharan Africa,Mauritania,Cosmetics,Offline,784021556,8256,437.2,263.33,1435470.72
Sub-Saharan Africa,Mozambique,Office Supplies,Offline,517953717,2870,651.21,524.96,362337.5
Asia,Bhutan,Cosmetics,Online,808192336,927,437.2,263.33,161177.49
Australia and Oceania,Tonga,Clothes,Offline,737598741,713,109.28,35.84,52362.72
Sub-Saharan Africa,Guinea,Clothes,Online,359346759,7546,109.28,35.84,554178.24
Europe,Albania,Office Supplies,Online,246922719,8775,651.21,524.96,1107843.75
Sub-Saharan Africa,Lesotho,Cereal,Online,144125449,8778,205.7,117.11,777643.02
Europe,Slovakia,Snacks,Offline,315066277,3968,152.58,97.44,218795.52
Australia and Oceania,Papua New Guinea,Beverages,Online,194169032,7786,47.45,31.79,121928.76
Sub-Saharan Africa,Cameroon,Cosmetics,Offline,636170041,5707,437.2,263.33,992276.09
Europe,Sweden,Household,Offline,766118133,235,668.27,502.54,38946.55
Middle East and North Africa,Bahrain,Fruits,Offline,229374635,5906,9.33,6.92,14233.46
Sub-Saharan Africa,Mauritania,Household,Online,541613376,4289,668.27,502.54,710815.97
Europe,Russia,Clothes,Offline,138820683,8980,109.28,35.84,659491.2
Central America and the Caribbean,Belize,Baby Food,Online,227295386,611,255.28,159.42,58570.46
Europe,Luxembourg,Cereal,Online,733648812,1842,205.7,117.11,163182.78
Sub-Saharan Africa,Chad,Office Supplies,Online,754804790,2366,651.21,524.96,298707.5
Asia,Indonesia,Vegetables,Offline,807999646,3906,154.06,90.93,246585.78
Europe,Kosovo,Office Supplies,Online,580782210,5217,651.21,524.96,658646.25
Central America and the Caribbean,Saint Kitts and Nevis ,Personal Care,Offline,281013810,7086,81.73,56.67,177575.16
Asia,South Korea,Fruits,Online,186868274,7330,9.33,6.92,17665.3
Sub-Saharan Africa,Kenya,Vegetables,Offline,196831929,5797,154.06,90.93,365964.61
Europe,Hungary,Baby Food,Offline,279703605,9367,255.28,159.42,897920.62
Middle East and North Africa,Turkey,Baby Food,Offline,924594628,6952,255.28,159.42,666418.72
Middle East and North Africa,Yemen,Office Supplies,Online,890928828,4494,651.21,524.96,567367.5
Asia,Tajikistan,Clothes,Online,358442533,9966,109.28,35.84,731903.04
Australia and Oceania,Australia,Baby Food,Online,477184569,8373,255.28,159.42,802635.78
Sub-Saharan Africa,Benin,Personal Care,Online,217516267,6752,81.73,56.67,169205.12
Sub-Saharan Africa,Gabon,Cereal,Online,420111453,9170,205.7,117.11,812370.3
Europe,Poland,Baby Food,Offline,645956456,1725,255.28,159.42,165358.5
Europe,Montenegro,Clothes,Offline,526350104,7547,109.28,35.84,554251.68
Europe,Andorra,Meat,Online,212903726,1798,421.89,364.69,102845.6
Sub-Saharan Africa,Zambia,Personal Care,Offline,827541148,6670,81.73,56.67,167150.2
Middle East and North Africa,Jordan,Cosmetics,Online,412498700,6387,437.2,263.33,1110507.69
Europe,Finland,Vegetables,Online,680325210,2203,154.06,90.93,139075.39
Europe,Slovenia,Beverages,Online,263882005,7404,47.45,31.79,115946.64
Middle East and North Africa,Algeria,Cereal,Offline,566342914,2308,205.7,117.11,204465.72
Sub-Saharan Africa,Equatorial Guinea,Meat,Online,811194264,9264,421.89,364.69,529900.8
Asia,India,Baby Food,Online,292234885,7651,255.28,159.42,733424.86
Sub-Saharan Africa,Democratic Republic of the Congo,Fruits,Offline,623576104,8881,9.33,6.92,21403.21
Sub-Saharan Africa,Sudan,Snacks,Online,789641749,1396,152.58,97.44,76975.44
Europe,Slovenia,Fruits,Offline,295168149,5669,9.33,6.92,13662.29
Sub-Saharan Africa,Uganda,Cereal,Offline,515204131,9206,205.7,117.11,815559.54
Europe,Greece,Meat,Offline,645111024,1543,421.89,364.69,88259.6
Europe,Switzerland,Baby Food,Offline,850562655,9246,255.28,159.42,886321.56
Sub-Saharan Africa,South Sudan,Personal Care,Offline,917545354,915,81.73,56.67,22929.9
Europe,Ireland,Personal Care,Offline,702357947,2179,81.73,56.67,54605.74
Sub-Saharan Africa,Niger,Baby Food,Online,581611764,701,255.28,159.42,67197.86
Europe,Montenegro,Clothes,Online,102230632,1171,109.28,35.84,85998.24
Europe,Armenia,Clothes,Online,231450879,313,109.28,35.84,22986.72
Sub-Saharan Africa,Seychelles ,Beverages,Online,206821334,1884,47.45,31.79,29503.44
North America,Canada,Beverages,Offline,686203324,1667,47.45,31.79,26105.22
Asia,Malaysia,Office Supplies,Online,597770678,2482,651.21,524.96,313352.5
Asia,Thailand,Baby Food,Offline,290009725,9177,255.28,159.42,879707.22
Sub-Saharan Africa,Ethiopia,Fruits,Online,181719291,3631,9.33,6.92,8750.71
Sub-Saharan Africa,South Africa,Meat,Online,312010705,9756,421.89,364.69,558043.2
Sub-Saharan Africa,Mauritius ,Fruits,Online,790307796,8494,9.33,6.92,20470.54
Sub-Saharan Africa,Mauritania,Meat,Offline,446346890,2819,421.89,364.69,161246.8
Europe,Poland,Clothes,Online,880176818,2735,109.28,35.84,200858.4
Middle East and North Africa,Tunisia ,Baby Food,Offline,612158906,279,255.28,159.42,26744.94
Asia,Mongolia,Fruits,Online,932966983,4518,9.33,6.92,10888.38
Sub-Saharan Africa,Equatorial Guinea,Meat,Online,953587377,6550,421.89,364.69,374660
Europe,Italy,Clothes,Online,755318915,4507,109.28,35.84,330994.08
Asia,Maldives,Personal Care,Online,939772927,8548,81.73,56.67,214212.88
Europe,Andorra,Beverages,Online,378873240,5866,47.45,31.79,91861.56
Europe,Cyprus,Fruits,Online,264856183,5685,9.33,6.92,13700.85
Australia and Oceania,Marshall Islands,Vegetables,Offline,960270583,4260,154.06,90.93,268933.8
Sub-Saharan Africa,Ghana,Office Supplies,Offline,647977769,9876,651.21,524.96,1246845
Sub-Saharan Africa,Malawi,Fruits,Offline,281151568,7852,9.33,6.92,18923.32
Australia and Oceania,Palau,Snacks,Online,433278310,5535,152.58,97.44,305199.9
North America,Greenland,Clothes,Offline,848156821,7306,109.28,35.84,536552.64
Sub-Saharan Africa,Republic of the Congo,Snacks,Offline,889898431,9576,152.58,97.44,528020.64
Asia,Laos,Personal Care,Online,892926967,5787,81.73,56.67,145022.22
Asia,Laos,Household,Online,811978757,1413,668.27,502.54,234176.49
Central America and the Caribbean,Belize,Fruits,Offline,672102630,8959,9.33,6.92,21591.19
Europe,Czech Republic,Cereal,Online,118659913,2960,205.7,117.11,262226.4
Europe,San Marino,Baby Food,Online,667324435,4985,255.28,159.42,477862.1
Asia,Kazakhstan,Clothes,Online,754082524,8631,109.28,35.84,633860.64
Europe,Poland,Baby Food,Online,685233008,4529,255.28,159.42,434149.94
Asia,Cambodia,Cosmetics,Offline,387387216,5341,437.2,263.33,928639.67
Europe,Monaco,Beverages,Online,757468974,757,47.45,31.79,11854.62
Europe,Belgium,Meat,Online,512714612,2502,421.89,364.69,143114.4
Central America and the Caribbean,Dominican Republic,Vegetables,Online,240672957,9331,154.06,90.93,589066.03
Middle East and North Africa,Jordan,Personal Care,Online,149205338,2030,81.73,56.67,50871.8
Europe,Georgia,Meat,Offline,516485583,8416,421.89,364.69,481395.2
Middle East and North Africa,Somalia,Baby Food,Offline,341000020,8339,255.28,159.42,799376.54
Europe,Kosovo,Vegetables,Online,491547477,8676,154.06,90.93,547715.88
Middle East and North Africa,Syria,Vegetables,Offline,557239282,8341,154.06,90.93,526567.33
Central America and the Caribbean,Panama,Snacks,Offline,197499263,3276,152.58,97.44,180638.64
Middle East and North Africa,Yemen,Personal Care,Offline,492063748,1453,81.73,56.67,36412.18
Middle East and North Africa,Turkey,Vegetables,Online,790981566,7878,154.06,90.93,497338.14
Central America and the Caribbean,El Salvador,Household,Offline,964614045,9587,668.27,502.54,1588853.51
Sub-Saharan Africa,Burundi,Fruits,Offline,953635013,647,9.33,6.92,1559.27
Sub-Saharan Africa,Liberia,Vegetables,Offline,319030797,7157,154.06,90.93,451821.41
Central America and the Caribbean,Dominican Republic,Meat,Online,492100226,2247,421.89,364.69,128528.4
Central America and the Caribbean,Saint Vincent and the Grenadines,Beverages,Offline,724454629,1079,47.45,31.79,16897.14
Sub-Saharan Africa,Zambia,Beverages,Offline,338017833,5843,47.45,31.79,91501.38
Middle East and North Africa,Oman,Personal Care,Online,975026166,765,81.73,56.67,19170.9
Sub-Saharan Africa,Mali,Cereal,Online,748028457,7098,205.7,117.11,628811.82
Sub-Saharan Africa,Malawi,Fruits,Online,989886033,8129,9.33,6.92,19590.89
Sub-Saharan Africa,Democratic Republic of the Congo,Cosmetics,Offline,403772723,4176,437.2,263.33,726081.12
Australia and Oceania,Nauru,Meat,Online,913174855,7587,421.89,364.69,433976.4
Europe,Bulgaria,Fruits,Offline,911891257,7742,9.33,6.92,18658.22
Europe,Russia,Snacks,Offline,214033257,6052,152.58,97.44,333707.28
Europe,Ukraine,Cereal,Online,504024684,959,205.7,117.11,84957.81
Europe,Lithuania,Vegetables,Online,386601865,2938,154.06,90.93,185475.94
Europe,Sweden,Cosmetics,Offline,336813628,9492,437.2,263.33,1650374.04
Asia,Kyrgyzstan,Beverages,Offline,450021302,159,47.45,31.79,2489.94
Sub-Saharan Africa,Chad,Beverages,Online,891898715,1505,47.45,31.79,23568.3
Australia and Oceania,Solomon Islands,Fruits,Offline,548432195,2129,9.33,6.92,5130.89
Sub-Saharan Africa,Madagascar,Fruits,Offline,175920569,7661,9.33,6.92,18463.01
Australia and Oceania,Papua New Guinea,Clothes,Offline,150975167,5762,109.28,35.84,423161.28
Sub-Saharan Africa,Central African Republic,Beverages,Offline,920519816,1125,47.45,31.79,17617.5
Asia,Maldives,Meat,Online,751790845,472,421.89,364.69,26998.4
Central America and the Caribbean,Dominican Republic,Meat,Online,682337081,7560,421.89,364.69,432432
Central America and the Caribbean,Haiti,Meat,Online,470019853,8174,421.89,364.69,467552.8
Sub-Saharan Africa,Togo,Fruits,Offline,843012988,5132,9.33,6.92,12368.12
Asia,Taiwan,Vegetables,Offline,349802815,3281,154.06,90.93,207129.53
Europe,Belgium,Fruits,Online,309188163,4503,9.33,6.92,10852.23
Europe,Kosovo,Office Supplies,Offline,760280358,2708,651.21,524.96,341885
Sub-Saharan Africa,Republic of the Congo,Fruits,Online,912503230,8838,9.33,6.92,21299.58
Europe,Slovakia,Beverages,Offline,495593106,5868,47.45,31.79,91892.88
Europe,Cyprus,Clothes,Offline,209598815,3802,109.28,35.84,279218.88
Sub-Saharan Africa,Comoros,Clothes,Offline,374881684,4676,109.28,35.84,343405.44
North America,United States of America,Baby Food,Offline,482115542,7558,255.28,159.42,724509.88
Central America and the Caribbean,Guatemala,Meat,Online,542286717,3545,421.89,364.69,202774
Asia,Laos,Cereal,Online,636694037,769,205.7,117.11,68125.71
Australia and Oceania,Solomon Islands,Personal Care,Offline,466948831,9390,81.73,56.67,235313.4
Sub-Saharan Africa,Mali,Snacks,Offline,704974925,6601,152.58,97.44,363979.14
Sub-Saharan Africa,Sudan,Fruits,Online,743008649,1625,9.33,6.92,3916.25
Australia and Oceania,Marshall Islands,Household,Offline,943598830,718,668.27,502.54,118994.14
Central America and the Caribbean,Guatemala,Vegetables,Online,389606797,2164,154.06,90.93,136613.32
Sub-Saharan Africa,Togo,Snacks,Online,934206378,1282,152.58,97.44,70689.48
Sub-Saharan Africa,Republic of the Congo,Meat,Online,450883901,5421,421.89,364.69,310081.2
Europe,Georgia,Meat,Online,483438193,8959,421.89,364.69,512454.8
Australia and Oceania,Vanuatu,Cereal,Online,395980584,8309,205.7,117.11,736094.31
Middle East and North Africa,Qatar,Vegetables,Offline,522934901,6913,154.06,90.93,436417.69
Europe,Switzerland,Vegetables,Online,819037473,244,154.06,90.93,15403.72
Sub-Saharan Africa,Chad,Baby Food,Offline,409337127,807,255.28,159.42,77359.02
Central America and the Caribbean,Antigua and Barbuda ,Cereal,Online,739195191,3139,205.7,117.11,278084.01
Middle East and North Africa,Lebanon,Personal Care,Offline,624285495,8806,81.73,56.67,220678.36
Sub-Saharan Africa,Burkina Faso,Baby Food,Offline,300594365,1407,255.28,159.42,134875.02
Europe,Liechtenstein,Fruits,Offline,974420630,1573,9.33,6.92,3790.93
Sub-Saharan Africa,Cameroon,Personal Care,Online,772375619,1964,81.73,56.67,49217.84
Middle East and North Africa,Qatar,Household,Online,591383159,2273,668.27,502.54,376704.29
Central America and the Caribbean,Jamaica,Snacks,Online,948679578,4224,152.58,97.44,232911.36
Sub-Saharan Africa,Senegal,Meat,Online,631813704,6570,421.89,364.69,375804
Sub-Saharan Africa,Madagascar,Clothes,Online,748646867,99,109.28,35.84,7270.56
Sub-Saharan Africa,Republic of the Congo,Beverages,Online,677352893,2628,47.45,31.79,41154.48
Sub-Saharan Africa,Gabon,Beverages,Offline,316418111,4005,47.45,31.79,62718.3
Europe,Russia,Beverages,Offline,534641349,1111,47.45,31.79,17398.26
Europe,Belgium,Snacks,Online,921133935,2856,152.58,97.44,157479.84
Asia,Kyrgyzstan,Office Supplies,Offline,235319697,5183,651.21,524.96,654353.75
Europe,San Marino,Meat,Offline,456934964,6065,421.89,364.69,346918
Central America and the Caribbean,Saint Vincent and the Grenadines,Beverages,Offline,936028563,507,47.45,31.79,7939.62
Central America and the Caribbean,Dominican Republic,Baby Food,Offline,642961823,5546,255.28,159.42,531639.56
Sub-Saharan Africa,Burkina Faso,Personal Care,Offline,418408572,5249,81.73,56.67,131539.94
Middle East and North Africa,Jordan,Beverages,Offline,723355138,5715,47.45,31.79,89496.9
Sub-Saharan Africa,Mali,Meat,Online,289100348,72,421.89,364.69,4118.4
Asia,Mongolia,Personal Care,Offline,167255532,3484,81.73,56.67,87309.04
Australia and Oceania,Papua New Guinea,Meat,Online,579744517,8141,421.89,364.69,465665.2
Europe,Bulgaria,Fruits,Online,468803632,8267,9.33,6.92,19923.47
Europe,Finland,Baby Food,Online,646981704,5118,255.28,159.42,490611.48
Middle East and North Africa,Iraq,Household,Online,647140061,1980,668.27,502.54,328145.4
Europe,Finland,Vegetables,Online,972452533,9169,154.06,90.93,578838.97
Middle East and North Africa,Somalia,Household,Offline,846405446,9035,668.27,502.54,1497370.55
Central America and the Caribbean,Trinidad and Tobago,Personal Care,Online,462797629,958,81.73,56.67,24007.48
Europe,Austria,Personal Care,Offline,535740411,6348,81.73,56.67,159080.88
Middle East and North Africa,Libya,Meat,Online,949657618,3648,421.89,364.69,208665.6
Europe,Ireland,Personal Care,Offline,309285581,3331,81.73,56.67,83474.86
Middle East and North Africa,Egypt,Meat,Online,889673125,2903,421.89,364.69,166051.6
Sub-Saharan Africa,Mauritius ,Meat,Offline,986181581,1900,421.89,364.69,108680
Australia and Oceania,Palau,Baby Food,Offline,764484775,6888,255.28,159.42,660283.68
Middle East and North Africa,Afghanistan,Cereal,Online,910569036,6467,205.7,117.11,572911.53
Europe,Andorra,Baby Food,Offline,380733191,6267,255.28,159.42,600754.62
Middle East and North Africa,Egypt,Household,Online,451588571,3948,668.27,502.54,654302.04
Asia,China,Fruits,Online,670059001,4203,9.33,6.92,10129.23
Australia and Oceania,Kiribati,Office Supplies,Online,203380811,3756,651.21,524.96,474195
Europe,Kosovo,Fruits,Online,989102828,6362,9.33,6.92,15332.42
